City,2016,2017,2018
Atlanta,0.97,1.19,1.01
Boston,1.26,1.50,1.34
Chicago,1.33,1.61,1.42
Dallas,0.83,0.94,0.81
Denver,0.96,1.22,1.05
Detroit,1.09,1.25,1.05
Miami,1.16,1.47,1.24
New York,1.39,1.57,1.35
Phoenix,0.72,0.81,0.68
San Francisco,1.41,1.53,1.19
Seattle,1.03,1.31,1.33
